Name,Batch No.,Barcode,Purchase Price,Selling Price,StockQuantity,StockValue
90MM 4KG BALCO UPVC WP/W,,202.090.040,84.5,107.91,110.0 MTR,9295.0
90MM 6KG BALCO UPVC ELBOW WP/ISI/LG,,226.090.050,50.09,55.77,25.0 PCS,1252.25
90MM 6KG BALCO UPVC TEE WP/ISI/LG,,226.090.056,65.78,73.59,30.0 PCS,1973.4
90MM BALCO UPVC SANILIGHT WP/G,,201.090.009,52.94,66.33,5.0 MTR,264.7
90MM BALCO UPVC SANILIGHT WP/W,,202.090.009,52.94,66.33,0.0 MTR,0.0
"BALCO CPVC FITTINGS 1"" ELBOW",,270.025.015,13.0,14.52,100.0 PCS,1300.0
"BALCO CPVC FITTINGS 3/4"" COUPLER",,270.020.017,5.05,5.94,50.0 PCS,252.5
"BALCO CPVC FITTINGS 3/4"" ELBOW",,270.020.015,7.3,8.58,0.0 PCS,0.0
"BALCO CPVC FITTINGS 3/4"" ELBOW 45*",,270.020.072,9.54,11.22,100.0 PCS,954.0
"BALCO CPVC FITTINGS 3/4"" END CAP",,270.020.078,2.81,3.3,50.0 PCS,140.5
"BALCO CPVC FITTINGS 3/4"" FTA",,270.020.070,6.18,7.26,50.0 PCS,309.0
"BALCO CPVC FITTINGS 3/4"" MTA",,270.020.071,5.61,6.6,0.0 PCS,0.0
"BALCO CPVC FITTINGS 3/4"" TEE",,270.020.016,8.98,10.56,0.0 PCS,0.0
"BALCO CPVC FITTINGS 3/4"" X 1/2"" BRASS ELBOW",,270.020.073,29.2,34.32,0.0 PCS,0.0
"BALCO CPVC FITTINGS 3/4"" X 1/2"" BRASS FTA",,270.020.076,25.27,29.7,50.0 PCS,1263.5
"BALCO CPVC FITTINGS 3/4"" X 1/2"" BRASS MTA",,270.020.075,37.06,43.56,30.0 PCS,1111.8
"BALCO CPVC FITTINGS 3/4"" X 1/2"" BRASS TEE",,270.020.074,31.44,36.96,30.0 PCS,943.2
BALCO STORE WELL /1000/LTR/W,,282.999.999,3436.3,3896.84,0.0 PCS,0.0
CANCELLED,,"",0.0,0.0,-1.0 PCS,-0.0
DISCOUNT ALLOWED,,"",0.0,0.0,-8.0 LOT,-0.0
DRS 627B GYM MAT 91x91 CM 14 MM,,"",0.0,0.0,24.0 PCS,0.0
RR AVIDITE DLX HIGH BEAM 9W 6500K,,395.009.092,0.0,0.0,190.0 PCS,0.0
RR AVIDITE EMERGENCY LED BULB 12W 6500K,,395.012.093,0.0,0.0,4.0 PCS,0.0
RR AVIDITE EMERGENCY LED BULB 9W 6500K,,395.009.093,0.0,0.0,122.0 PCS,0.0
RR SWANK LED T5 5W 300MM PC /PLASTIC TUBELIGHT 6500K,,395.005.091,0.0,0.0,130.0 PCS,0.0
RR SWANK LED T5 9W 600MM PC /PLASTIC TUBELIGHT 6500K,,395.009.091,0.0,0.0,0.0 PCS,0.0
RR SWANK PLUS T5 20W PC BATTEN LED TUBELIGHT 6500K,,395.021.091,0.0,0.0,113.0 PCS,0.0
